"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.495856690E-1,1.237499993E-3,0.000000000E0,1.924999990E-3,2.288456072E-3
1.515737480E-1,1.374999993E-4,0.000000000E0,1.924999990E-3,1.929904456E-3
1.535619760E-1,1.374999993E-4,1.099999994E-3,8.249999955E-4,1.381857890E-3
1.555500550E-1,1.374999993E-4,2.199999988E-3,-1.374999993E-4,2.208577019E-3
1.575380550E-1,1.237499993E-3,1.099999994E-3,-1.374999993E-4,1.661418812E-3
1.595262840E-1,1.374999993E-4,0.000000000E0,-1.374999993E-4,1.944543638E-4
1.615143640E-1,1.374999993E-4,0.000000000E0,8.249999955E-4,8.363798434E-4
1.635025930E-1,1.374999993E-4,1.099999994E-3,1.924999990E-3,2.221380471E-3
1.654906720E-1,1.237499993E-3,1.099999994E-3,8.249999955E-4,1.849873296E-3
1.674789010E-1,1.237499993E-3,0.000000000E0,-1.374999993E-4,1.245115450E-3
1.694669790E-1,1.237499993E-3,0.000000000E0,-1.374999993E-4,1.245115450E-3
1.714549790E-1,1.374999993E-4,1.099999994E-3,-1.374999993E-4,1.117055275E-3
1.734432140E-1,1.374999993E-4,1.099999994E-3,-1.374999993E-4,1.117055275E-3
1.754312930E-1,1.237499993E-3,0.000000000E0,-1.374999993E-4,1.245115450E-3
