"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.328120550E-1,5.295000225E-2,-1.699500084E-1,1.003500080E1,1.003657949E1
1.347993610E-1,4.305000231E-2,-1.770000011E-1,1.003500080E1,1.003665399E1
1.367865170E-1,4.500000179E-2,-1.680000126E-1,1.004205036E1,1.004355637E1
1.387741420E-1,4.800000042E-2,-1.680000126E-1,1.004700089E1,1.004852003E1
1.407612980E-1,2.895000204E-2,-1.750500053E-1,1.004700089E1,1.004856743E1
1.427486040E-1,2.400000021E-2,-1.770000011E-1,1.003695011E1,1.003853936E1
1.447359880E-1,2.595000155E-2,-1.770000011E-1,1.006800079E1,1.006958998E1
1.467233730E-1,1.395000052E-2,-1.800000072E-1,1.005900002E1,1.006062006E1
1.487105290E-1,1.395000052E-2,-1.750500053E-1,1.006605053E1,1.006758215E1
1.506979230E-1,-9.000000544E-3,-1.990500093E-1,1.009200001E1,1.009396681E1
1.526852320E-1,-6.000000052E-3,-1.920000017E-1,1.012095070E1,1.012277349E1
1.546726150E-1,1.005000062E-2,-1.870500147E-1,1.010895061E1,1.011068599E1
1.566596940E-1,-9.000000544E-3,-1.939500123E-1,1.011600018E1,1.011786327E1
1.586468480E-1,0.000000000E0,-1.849500090E-1,1.012605095E1,1.012773984E1
1.606339250E-1,-4.050000105E-3,-2.010000050E-1,1.011195087E1,1.011394917E1
1.626210110E-1,-1.050000079E-3,-1.870500147E-1,1.011600018E1,1.011772941E1
1.646083170E-1,1.395000052E-2,-1.770000011E-1,1.010205078E1,1.010361092E1
1.665953960E-1,1.200000010E-2,-2.010000050E-1,1.012095070E1,1.012295352E1
1.685825480E-1,7.050000131E-3,-1.750500053E-1,1.009200001E1,1.009352051E1
1.705696270E-1,1.695000008E-2,-1.870500147E-1,1.007805061E1,1.007980055E1
1.725566270E-1,1.695000008E-2,-1.609500051E-1,1.006800079E1,1.006930147E1
1.745440480E-1,3.405000269E-2,-1.750500053E-1,1.006800079E1,1.006958003E1
1.765311270E-1,4.500000179E-2,-1.699500084E-1,1.004895020E1,1.005048795E1
1.785182790E-1,4.305000231E-2,-1.849500090E-1,1.004205036E1,1.004384564E1
1.805053580E-1,4.305000231E-2,-1.680000126E-1,1.003695011E1,1.003844833E1
1.824926640E-1,4.995000362E-2,-1.750500053E-1,1.004895020E1,1.005059886E1
1.844798200E-1,7.695000619E-2,-1.699500084E-1,1.003305054E1,1.003478487E1
1.864669020E-1,5.700000376E-2,-1.870500147E-1,1.004895020E1,1.005085254E1
1.884539790E-1,5.505000427E-2,-1.990500093E-1,1.005405045E1,1.005617133E1
1.904412840E-1,5.505000427E-2,-1.770000011E-1,1.006395054E1,1.006565745E1
1.924284400E-1,4.500000179E-2,-1.939500123E-1,1.006605053E1,1.006801941E1
1.944157460E-1,5.505000427E-2,-1.890000105E-1,1.003695011E1,1.003888037E1
1.964029020E-1,4.305000231E-2,-2.059500068E-1,1.006395054E1,1.006614967E1
1.983902160E-1,5.295000225E-2,-2.160000056E-1,1.007295036E1,1.007540514E1
2.003773720E-1,4.995000362E-2,-2.179500163E-1,1.009995079E1,1.010242561E1
2.023646780E-1,4.500000179E-2,-2.160000056E-1,1.010700035E1,1.010940835E1
2.043518340E-1,2.595000155E-2,-2.010000050E-1,1.010700035E1,1.010903212E1
2.063391390E-1,2.205000073E-2,-1.969500035E-1,1.011600018E1,1.011794125E1
2.083262950E-1,4.995000362E-2,-2.110500038E-1,1.012395000E1,1.012627280E1
2.103136980E-1,4.305000231E-2,-1.939500123E-1,1.008300018E1,1.008495724E1
2.123013130E-1,5.295000225E-2,-2.209500074E-1,1.009005070E1,1.009260847E1
2.142887770E-1,4.995000362E-2,-2.059500068E-1,1.009200001E1,1.009422481E1
2.162763900E-1,4.800000042E-2,-2.179500163E-1,1.009500027E1,1.009746684E1
2.182637770E-1,6.000000238E-2,-1.920000017E-1,1.007595062E1,1.007795837E1
